#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E28D
#Date Time: 2026-04-02 18:40:56.302
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),I2S
0.01855134,X
0.01855135,X
0.01855136,X
0.01855137,X
0.01855138,X
0.01855139,X
0.0185514,X
0.01855141,X
0.01855142,X
0.01855143,X
0.01855144,X
0.01855145,X
0.01855146,X
0.01855147,X
0.01855148,X
0.01855149,X
0.0185515,X
0.01855151,X
0.01855152,X
0.01855153,X
0.01855154,X
0.01855155,X
0.01855156,X
0.01855157,X
0.01855158,X
0.01855159,X
0.0185516,X
0.01855161,X
0.01855162,X
0.01855163,X
0.01855164,X
0.01855165,X
0.01855166,X
0.01855167,X
0.01855168,X
0.01855169,X
0.0185517,X
0.01855171,X
0.01855172,X
0.01855173,X
0.01855174,X
0.01855175,X
0.01855176,X
0.01855177,X
0.01855178,X
0.01855179,X
0.0185518,X
0.01855181,X
0.01855182,X
0.01855183,X
0.01855184,X
0.01855185,X
0.01855186,X
0.01855187,X
0.01855188,X
0.01855189,X
0.0185519,X
0.01855191,X
0.01855192,X
0.01855193,X
0.01855194,X
0.01855195,X
0.01855196,X
0.01855197,X
0.01855198,X
0.01855199,X
0.018552,X
0.01855201,X
0.01855202,X
0.01855203,X
0.01855204,X
0.01855205,X
0.01855206,X
0.01855207,X
0.01855208,X
0.01855209,X
0.0185521,X
0.01855211,X
0.01855212,X
0.01855213,X
0.01855214,X
0.01855215,X
0.01855216,X
0.01855217,X
0.01855218,X
0.01855219,X
0.0185522,X
0.01855221,X
0.01855222,X
0.01855223,X
0.01855224,X
0.01855225,X
0.01855226,X
0.01855227,X
0.01855228,X
0.01855229,X
0.0185523,X
0.01855231,X
0.01855232,X
0.01855233,X
0.01855234,X
0.01855235,X
0.01855236,X
0.01855237,X
0.01855238,X
0.01855239,X
0.0185524,X
0.01855241,X
0.01855242,X
0.01855243,X
0.01855244,X
0.01855245,X
0.01855246,X
0.01855247,X
0.01855248,X
0.01855249,X
0.0185525,X
0.01855251,X
0.01855252,X
0.01855253,X
0.01855254,X
0.01855255,X
0.01855256,X
0.01855257,X
0.01855258,X
0.01855259,X
0.0185526,X
0.01855261,X
0.01855262,X
0.01855263,X
0.01855264,X
0.01855265,X
0.01855266,X
0.01855267,X
0.01855268,X
0.01855269,X
0.0185527,X
0.01855271,X
0.01855272,X
0.01855273,X
0.01855274,X
0.01855275,X
0.01855276,X
0.01855277,X
0.01855278,X
0.01855279,X
0.0185528,X
0.01855281,X
0.01855282,X
0.01855283,X
0.01855284,X
0.01855285,X
0.01855286,X
0.01855287,X
0.01855288,X
0.01855289,X
0.0185529,X
0.01855291,X
0.01855292,X
0.01855293,X
0.01855294,X
0.01855295,X
0.01855296,X
0.01855297,X
0.01855298,X
0.01855299,X
0.018553,X
0.01855301,X
0.01855302,X
0.01855303,X
0.01855304,X
0.01855305,X
0.01855306,X
0.01855307,X
0.01855308,X
0.01855309,X
0.0185531,X
0.01855311,X
0.01855312,X
0.01855313,X
0.01855314,X
0.01855315,X
0.01855316,X
0.01855317,X
0.01855318,X
0.01855319,X
0.0185532,X
0.01855321,X
0.01855322,X
0.01855323,X
0.01855324,X
0.01855325,X
0.01855326,X
0.01855327,X
0.01855328,X
0.01855329,X
0.0185533,X
0.01855331,X
0.01855332,X
0.01855333,X
0.01855334,X
0.01855335,X
0.01855336,X
0.01855337,X
0.01855338,X
0.01855339,X
0.0185534,X
0.01855341,X
0.01855342,X
0.01855343,X
0.01855344,X
0.01855345,X
0.01855346,X
0.01855347,X
0.01855348,X
0.01855349,X
0.0185535,X
0.01855351,X
0.01855352,X
0.01855353,X
0.01855354,X
0.01855355,X
0.01855356,X
0.01855357,X
0.01855358,X
0.01855359,X
0.0185536,X
0.01855361,X
0.01855362,X
0.01855363,X
0.01855364,X
0.01855365,X
0.01855366,X
0.01855367,X
0.01855368,X
0.01855369,X
0.0185537,X
0.01855371,X
0.01855372,X
0.01855373,X
0.01855374,X
0.01855375,X
0.01855376,X
0.01855377,X
0.01855378,X
0.01855379,X
0.0185538,X
0.01855381,X
0.01855382,X
0.01855383,X
0.01855384,X
0.01855385,X
0.01855386,X
0.01855387,X
0.01855388,X
0.01855389,X
0.0185539,X
0.01855391,X
0.01855392,X
0.01855393,X
0.01855394,X
0.01855395,X
0.01855396,X
0.01855397,X
0.01855398,X
0.01855399,X
0.018554,X
0.01855401,X
0.01855402,X
0.01855403,X
0.01855404,X
0.01855405,X
0.01855406,X
0.01855407,X
0.01855408,X
0.01855409,X
0.0185541,X
0.01855411,X
0.01855412,X
0.01855413,X
0.01855414,X
0.01855415,X
0.01855416,X
0.01855417,X
0.01855418,X
0.01855419,X
0.0185542,X
0.01855421,X
0.01855422,X
0.01855423,X
0.01855424,X
0.01855425,X
0.01855426,X
0.01855427,X
0.01855428,X
0.01855429,X
0.0185543,X
0.01855431,X
0.01855432,X
0.01855433,X
0.01855434,X
0.01855435,X
0.01855436,X
0.01855437,X
0.01855438,X
0.01855439,X
0.0185544,X
0.01855441,X
0.01855442,X
0.01855443,X
0.01855444,X
0.01855445,X
0.01855446,X
0.01855447,X
0.01855448,X
0.01855449,X
0.0185545,X
0.01855451,X
0.01855452,X
0.01855453,X
0.01855454,X
0.01855455,X
0.01855456,X
0.01855457,X
0.01855458,X
0.01855459,X
0.0185546,X
0.01855461,X
0.01855462,X
0.01855463,X
0.01855464,X
0.01855465,X
0.01855466,X
0.01855467,X
0.01855468,X
0.01855469,X
0.0185547,X
0.01855471,X
0.01855472,X
0.01855473,X
0.01855474,X
0.01855475,X
0.01855476,X
0.01855477,X
0.01855478,X
0.01855479,X
0.0185548,X
0.01855481,X
0.01855482,X
0.01855483,X
0.01855484,X
0.01855485,X
0.01855486,X
0.01855487,X
0.01855488,X
0.01855489,X
0.0185549,X
0.01855491,X
0.01855492,X
0.01855493,X
0.01855494,X
0.01855495,X
0.01855496,X
0.01855497,X
0.01855498,X
0.01855499,X
0.018555,X
0.01855501,X
0.01855502,X
0.01855503,X
0.01855504,X
0.01855505,X
0.01855506,X
0.01855507,X
0.01855508,X
0.01855509,X
0.0185551,X
0.01855511,R h00000000
0.01855512,R h00000000
0.01855513,R h00000000
0.01855514,R h00000000
0.01855515,R h00000000
0.01855516,R h00000000
0.01855517,R h00000000
0.01855518,R h00000000
0.01855519,R h00000000
0.0185552,R h00000000
0.01855521,R h00000000
0.01855522,R h00000000
0.01855523,R h00000000
0.01855524,R h00000000
0.01855525,R h00000000
0.01855526,R h00000000
0.01855527,R h00000000
0.01855528,R h00000000
0.01855529,R h00000000
0.0185553,R h00000000
0.01855531,R h00000000
0.01855532,R h00000000
0.01855533,R h00000000
0.01855534,R h00000000
0.01855535,R h00000000
0.01855536,R h00000000
0.01855537,R h00000000
0.01855538,R h00000000
0.01855539,R h00000000
0.0185554,R h00000000
0.01855541,R h00000000
0.01855542,R h00000000
0.01855543,R h00000000
0.01855544,R h00000000
0.01855545,R h00000000
0.01855546,R h00000000
0.01855547,R h00000000
0.01855548,R h00000000
0.01855549,R h00000000
0.0185555,R h00000000
0.01855551,R h00000000
0.01855552,R h00000000
0.01855553,R h00000000
0.01855554,R h00000000
0.01855555,R h00000000
0.01855556,R h00000000
0.01855557,R h00000000
0.01855558,R h00000000
0.01855559,R h00000000
0.0185556,R h00000000
0.01855561,R h00000000
0.01855562,R h00000000
0.01855563,R h00000000
0.01855564,R h00000000
0.01855565,R h00000000
0.01855566,R h00000000
0.01855567,R h00000000
0.01855568,R h00000000
0.01855569,R h00000000
0.0185557,R h00000000
0.01855571,R h00000000
0.01855572,R h00000000
0.01855573,R h00000000
0.01855574,R h00000000
0.01855575,R h00000000
0.01855576,R h00000000
0.01855577,R h00000000
0.01855578,R h00000000
0.01855579,R h00000000
0.0185558,R h00000000
0.01855581,R h00000000
0.01855582,R h00000000
0.01855583,R h00000000
0.01855584,R h00000000
0.01855585,R h00000000
0.01855586,R h00000000
0.01855587,R h00000000
0.01855588,R h00000000
0.01855589,R h00000000
0.0185559,R h00000000
0.01855591,R h00000000
0.01855592,R h00000000
0.01855593,R h00000000
0.01855594,R h00000000
0.01855595,R h00000000
0.01855596,R h00000000
0.01855597,R h00000000
0.01855598,R h00000000
0.01855599,R h00000000
0.018556,R h00000000
0.01855601,R h00000000
0.01855602,R h00000000
0.01855603,R h00000000
0.01855604,R h00000000
0.01855605,R h00000000
0.01855606,R h00000000
0.01855607,R h00000000
0.01855608,R h00000000
0.01855609,R h00000000
0.0185561,R h00000000
0.01855611,R h00000000
0.01855612,R h00000000
0.01855613,R h00000000
0.01855614,R h00000000
0.01855615,R h00000000
0.01855616,R h00000000
0.01855617,R h00000000
0.01855618,R h00000000
0.01855619,R h00000000
0.0185562,R h00000000
0.01855621,R h00000000
0.01855622,R h00000000
0.01855623,R h00000000
0.01855624,R h00000000
0.01855625,R h00000000
0.01855626,R h00000000
0.01855627,R h00000000
0.01855628,R h00000000
0.01855629,R h00000000
0.0185563,R h00000000
0.01855631,R h00000000
0.01855632,R h00000000
0.01855633,R h00000000
0.01855634,R h00000000
0.01855635,R h00000000
0.01855636,R h00000000
0.01855637,R h00000000
0.01855638,R h00000000
0.01855639,R h00000000
0.0185564,R h00000000
0.01855641,R h00000000
0.01855642,R h00000000
0.01855643,R h00000000
0.01855644,R h00000000
0.01855645,R h00000000
0.01855646,R h00000000
0.01855647,R h00000000
0.01855648,R h00000000
0.01855649,R h00000000
0.0185565,R h00000000
0.01855651,R h00000000
0.01855652,R h00000000
0.01855653,R h00000000
0.01855654,R h00000000
0.01855655,R h00000000
0.01855656,R h00000000
0.01855657,R h00000000
0.01855658,R h00000000
0.01855659,R h00000000
0.0185566,R h00000000
0.01855661,R h00000000
0.01855662,R h00000000
0.01855663,R h00000000
0.01855664,R h00000000
0.01855665,R h00000000
0.01855666,R h00000000
0.01855667,R h00000000
0.01855668,R h00000000
0.01855669,R h00000000
